id,name,brand,category,variant,price,rrPrice,discountPrice,discount,productParentStock,productChildStock,product_url
4NCUW,VivoBarefoot Primus Lite III Running Shoes (For Men),VivoBarefoot,Men's Running Shoes,4NCUW-01-49-M,79.99,79.99,79.99,46,54,54,https://www.sierra.com/vivobarefoot-primus-lite-iii-running-shoes-for-men~p~4ncuw/?filterString=newproducts~14%2Factivities~d~14342%2F
4NFGG,VivoBarefoot Tracker Decon FG2 Hiking Boots - Leather (For Men),VivoBarefoot,Men's & Women's Hiking Boots/Men's Hiking Boots,4NFGG-01-44-M,119.99,119.99,119.99,35,38,29,https://www.sierra.com/vivobarefoot-tracker-decon-fg2-hiking-boots-leather-for-men~p~4nfgg/?filterString=newproducts~14%2Factivities~d~14342%2F
3RTHH,"Mad Man Dry Gear 10 L Outdoor Travel Bag Day Pak - Waterproof, Black",Mad Man,Dry Bags/Fishing Tools & Bags/Ski & Snowboard Accessories,3RTHH-02,12.99,12.99,12.99,48,59,59,https://www.sierra.com/mad-man-dry-gear-10-l-outdoor-travel-bag-day-pak-waterproof-black~p~3rthh/?filterString=newproducts~14%2Factivities~d~14342%2F
2FXKK,Lamson Liquid -5+ Fly Reel - 3-Pack,Lamson,Fly Fishing Reels,2FXKK-01,159.99,159.99,159.99,27,29,29,https://www.sierra.com/lamson-liquid-5-plus--fly-reel-3-pack~p~2fxkk/?filterString=newproducts~14%2Factivities~d~14342%2F
4VWTM,Head Gravity Tour Lite Pickleball Paddle,Head,Golf & Tennis Gear/Golf & Tennis Gear/Tennis & Pickleball,4VWTM-01,79.99,79.99,79.99,33,68,68,https://www.sierra.com/head-gravity-tour-lite-pickleball-paddle~p~4vwtm/?filterString=newproducts~14%2Factivities~d~14342%2F
5AKHD,Daiwa Certate Saltwater 6000-XH Spinning Reel - 14-20 lb.,Daiwa,Spinning & Other Reels,5AKHD-01,399.99,399.99,399.99,33,15,15,https://www.sierra.com/daiwa-certate-saltwater-6000-xh-spinning-reel-14-20-lb~p~5akhd/?filterString=newproducts~14%2Factivities~d~14342%2F
3TCDU,Simms Tributary 5 L Hip Pack,Simms,Fishing Tools & Bags,3TCDU-02,49.99,49.99,49.99,44,170,170,https://www.sierra.com/simms-tributary-5-l-hip-pack~p~3tcdu/?filterString=newproducts~14%2Factivities~d~14342%2F
3RTHA,Mad Man Dry Gear Waist Bag - Waterproof,Mad Man,Dry Bags/Fishing Tools & Bags/Ski & Snowboard Accessories,3RTHA-01,14.99,14.99,14.99,57,45,45,https://www.sierra.com/mad-man-dry-gear-waist-bag-waterproof~p~3rtha/?filterString=newproducts~14%2Factivities~d~14342%2F
4XGCV,Altra Vanish Tempo Running Shoes (For Women),Altra,Women's Running Shoes,4XGCV-01-8.5-M,79.99,79.99,79.99,50,172,29,https://www.sierra.com/altra-vanish-tempo-running-shoes-for-women~p~4xgcv/?filterString=newproducts~14%2Factivities~d~14342%2F
5CDTW,Merrell Moab Speed Gore-Tex® Hiking Shoes - Waterproof (For Men),Merrell,Men's & Women's Hiking Boots/Men's Hiking Boots,5CDTW-01-13-M,69.99,69.99,69.99,36,223,6,https://www.sierra.com/merrell-moab-speed-gore-tex-hiking-shoes-waterproof-for-men~p~5cdtw/?filterString=newproducts~14%2Factivities~d~14342%2F
4DMFK,Scientific Anglers Mastery Textured Trout Fly Line - Weight Forward,Scientific Anglers,Fishing & Fly Lines,4DMFK-01-4,49.99,49.99,49.99,44,157,27,https://www.sierra.com/scientific-anglers-mastery-textured-trout-fly-line-weight-forward~p~4dmfk/?filterString=newproducts~14%2Factivities~d~14342%2F
3RTHF,Mad Man 20 L Dry Gear Daypack - Black,Mad Man,Dry Bags/Fishing Tools & Bags/Ski & Snowboard Accessories,3RTHF-02,14.99,14.99,14.99,50,50,50,https://www.sierra.com/mad-man-20-l-dry-gear-daypack-black~p~3rthf/?filterString=newproducts~14%2Factivities~d~14342%2F
2FYYN,Altra Torin 6 Running Shoes - Wide Width (For Women),Altra,Women's Running Shoes,2FYYN-01-10-W,59.99,59.99,59.99,42,294,34,https://www.sierra.com/altra-torin-6-running-shoes-wide-width-for-women~p~2fyyn/?filterString=newproducts~14%2Factivities~d~14342%2F
3GYGW,Saucony Endorphin Shift 3 Running Shoes (For Women),Saucony,Women's Running Shoes,3GYGW-01-5.5-M,69.99,69.99,69.99,30,324,2,https://www.sierra.com/saucony-endorphin-shift-3-running-shoes-for-women~p~3gygw/?filterString=newproducts~14%2Factivities~d~14342%2F
5AHMV,Icebreaker Hike Shorts - Merino Wool,Icebreaker,Women's Casual Shorts,5AHMV-01-27,49.99,49.99,49.99,72,286,26,https://www.sierra.com/icebreaker-hike-shorts-merino-wool~p~5ahmv/?filterString=newproducts~14%2Factivities~d~14342%2F
4AJPC,Altra VIA Olympus Running Shoes (For Men),Altra,Men's Running Shoes,4AJPC-01-10.5-M,69.99,69.99,69.99,46,208,51,https://www.sierra.com/altra-via-olympus-running-shoes-for-men~p~4ajpc/?filterString=newproducts~14%2Factivities~d~14342%2F
4UDMF,Salomon Hiking Shoes (For Men),Salomon,Men's & Women's Hiking Shoes/Men's Hiking Shoes,4UDMF-01-10.5-M,59.99,59.99,59.99,50,411,47,https://www.sierra.com/salomon-hiking-shoes-for-men~p~4udmf/?filterString=newproducts~14%2Factivities~d~14342%2F
3KCYX,Saucony Trail Running Shoes (For Men),Saucony,Men's Running Shoes,3KCYX-01-10-M,59.99,59.99,59.99,40,405,58,https://www.sierra.com/saucony-trail-running-shoes-for-men~p~3kcyx/?filterString=newproducts~14%2Factivities~d~14342%2F
5CDMF,Merrell Moab 3 Hiking Shoes (For Men),Merrell,Men's & Women's Hiking Shoes/Men's Hiking Shoes,5CDMF-01-10.5-W,59.99,59.99,59.99,50,422,16,https://www.sierra.com/merrell-moab-3-hiking-shoes-for-men~p~5cdmf/?filterString=newproducts~14%2Factivities~d~14342%2F
4HVDA,Simms Guide Classic Gore-Tex® Stockingfoot Waders - Waterproof (For Men),Simms,Waders & Wading Boots,4HVDA-01-MS9/11,299.99,299.99,299.99,45,135,1,https://www.sierra.com/simms-guide-classic-gore-tex-stockingfoot-waders-waterproof-for-men~p~4hvda/?filterString=newproducts~14%2Factivities~d~14342%2F
4NDXM,VivoBarefoot Novus Mid Training Shoes - Leather (For Women),VivoBarefoot,Women's Cross-Training Shoes/Women's Running Shoes,4NDXM-01-39-M,79.99,79.99,79.99,38,19,6,https://www.sierra.com/vivobarefoot-novus-mid-training-shoes-leather-for-women~p~4ndxm/?filterString=newproducts~14%2Factivities~d~14342%2F
4YTGY,90 Degree by Reflex Hampton Interlock Sport Joggers,90 Degree by Reflex,Women's Joggers,4YTGY-02-XL,16.99,16.99,16.99,43,93,12,https://www.sierra.com/90-degree-by-reflex-hampton-interlock-sport-joggers~p~4ytgy/?filterString=newproducts~14%2Factivities~d~14342%2F
4TAVF,"Diadora Brasil Elite GR LT LP12 Cleats - Leather, Firm Ground (For Men)",Diadora,Men's Cross-Training Shoes/Men's Golf & Tennis Shoes,4TAVF-01-12,39.99,39.99,39.99,65,45,7,https://www.sierra.com/diadora-brasil-elite-gr-lt-lp12-cleats-leather-firm-ground-for-men~p~4tavf/?filterString=newproducts~14%2Factivities~d~14342%2F
4YNCC,Montana Fly Company Baltz’s Tungsten Bronzeback Nymph Fly - Dozen,Montana Fly Company,Fishing Flies,4YNCC-01-18,14.99,14.99,14.99,58,9,9,https://www.sierra.com/montana-fly-company-baltzs-tungsten-bronzeback-nymph-fly-dozen~p~4yncc/?filterString=newproducts~14%2Factivities~d~14342%2F
5GHFT,RMU Tailgate Locker - Large,RMU,Bike Accessories,5GHFT-02-L,179.99,179.99,179.99,24,29,29,https://www.sierra.com/rmu-tailgate-locker-large~p~5ghft/?filterString=newproducts~14%2Factivities~d~14342%2F
4RXJF,Peak Refuel Breakfast Skillet Meal - 2 Servings,Peak Refuel,Camp Food,4RXJF-01,11.99,11.99,11.99,20,144,144,https://www.sierra.com/peak-refuel-breakfast-skillet-meal-2-servings~p~4rxjf/?filterString=newproducts~14%2Factivities~d~14342%2F
4RAGY,"Vapor Apparel Manta Camo Hooded Sun Shirt - UPF 50+, Long Sleeve",Vapor Apparel,Fishing Apparel/Men's Flannel & Button-Downs,4RAGY-01-L,9.99,9.99,9.99,71,175,31,https://www.sierra.com/vapor-apparel-manta-camo-hooded-sun-shirt-upf-50-plus--long-sleeve~p~4ragy/?filterString=newproducts~14%2Factivities~d~14342%2F
3MMKU,BruMate Hopsulator Trio Tumbler -16 oz.,BruMate,Camp Kitchen,3MMKU-01,12.99,12.99,12.99,48,15,15,https://www.sierra.com/brumate-hopsulator-trio-tumbler-16-oz~p~3mmku/?filterString=newproducts~14%2Factivities~d~14342%2F
2FXGY,Lamson Remix -7+ Fly Reel,Lamson,Fly Fishing Reels,2FXGY-01,179.99,179.99,179.99,28,10,10,https://www.sierra.com/lamson-remix-7-plus--fly-reel~p~2fxgy/?filterString=newproducts~14%2Factivities~d~14342%2F
4YKND,Oakley Drop In Mountain Bike Gloves - Touchscreen Compatible,Oakley,Bike Accessories,4YKND-01-S,12.99,12.99,12.99,35,140,23,https://www.sierra.com/oakley-drop-in-mountain-bike-gloves-touchscreen-compatible~p~4yknd/?filterString=newproducts~14%2Factivities~d~14342%2F
4NCVY,VivoBarefoot Magna FG Hiking Boots - Leather (For Men),VivoBarefoot,Men's & Women's Hiking Boots/Men's Hiking Boots,4NCVY-01-45-M,119.99,119.99,119.99,25,12,1,https://www.sierra.com/vivobarefoot-magna-fg-hiking-boots-leather-for-men~p~4ncvy/?filterString=newproducts~14%2Factivities~d~14342%2F
4YKNG,Oakley All Mountain Bike Gloves - Touchscreen Compatible,Oakley,Bike Accessories,4YKNG-01-M,12.99,12.99,12.99,35,144,73,https://www.sierra.com/oakley-all-mountain-bike-gloves-touchscreen-compatible~p~4ykng/?filterString=newproducts~14%2Factivities~d~14342%2F
4RXHU,Peak Refuel Strawberry Granola Meal - 2 Servings,Peak Refuel,Camp Food,4RXHU-01,6.29,6.29,6.29,21,147,147,https://www.sierra.com/peak-refuel-strawberry-granola-meal-2-servings~p~4rxhu/?filterString=newproducts~14%2Factivities~d~14342%2F
4VKMD,UMPQUA UPG LT Mini Fly Box,UMPQUA,Fishing Tools & Bags,4VKMD-01,9.99,9.99,9.99,50,223,223,https://www.sierra.com/umpqua-upg-lt-mini-fly-box~p~4vkmd/?filterString=newproducts~14%2Factivities~d~14342%2F
4NCFH,VivoBarefoot Magna FG Hiking Boots - Leather (For Women),VivoBarefoot,Men's & Women's Hiking Boots/Women's Hiking Boots,4NCFH-01-40-M,119.99,119.99,119.99,25,15,2,https://www.sierra.com/vivobarefoot-magna-fg-hiking-boots-leather-for-women~p~4ncfh/?filterString=newproducts~14%2Factivities~d~14342%2F
5DMUH,adidas outdoor Terrex Swift R3 Gore-Tex® Hiking Shoes - Waterproof (For Women),adidas outdoor,Men's & Women's Hiking Shoes/Women's Hiking Shoes,5DMUH-01-5.5-M,59.99,59.99,59.99,57,158,4,https://www.sierra.com/adidas-outdoor-terrex-swift-r3-gore-tex-hiking-shoes-waterproof-for-women~p~5dmuh/?filterString=newproducts~14%2Factivities~d~14342%2F
4NCTF,VivoBarefoot Tracker Decon Low FG2 Hiking Shoes - Leather (For Men),VivoBarefoot,Men's & Women's Hiking Shoes/Men's Hiking Shoes,4NCTF-01-40-M,99.99,99.99,99.99,23,20,1,https://www.sierra.com/vivobarefoot-tracker-decon-low-fg2-hiking-shoes-leather-for-men~p~4nctf/?filterString=newproducts~14%2Factivities~d~14342%2F
5ADUU,Backpacker's Pantry Vegan Chana Masala Meal - 2 Servings,Backpacker's Pantry,Camp Food,5ADUU-01,7.99,7.99,7.99,20,130,130,https://www.sierra.com/backpackers-pantry-vegan-chana-masala-meal-2-servings~p~5aduu/?filterString=newproducts~14%2Factivities~d~14342%2F
4NCCG,VivoBarefoot Tracker Decon Low FG2 Hiking Shoes - Leather (For Women),VivoBarefoot,Men's & Women's Hiking Shoes/Women's Hiking Shoes,4NCCG-01-36-M,99.99,99.99,99.99,23,10,2,https://www.sierra.com/vivobarefoot-tracker-decon-low-fg2-hiking-shoes-leather-for-women~p~4nccg/?filterString=newproducts~14%2Factivities~d~14342%2F
5ADJK,Ready Wise Backcountry Wild Rice Risotto with Vegetables Meal - 2.5 Servings,Ready Wise,Camp Food,5ADJK-01,5.99,5.99,5.99,24,168,168,https://www.sierra.com/ready-wise-backcountry-wild-rice-risotto-with-vegetables-meal-25-servings~p~5adjk/?filterString=newproducts~14%2Factivities~d~14342%2F
5AMJH,Lodge Cast Iron Skillet - 12”,Lodge,Camp Kitchen/Cookware & Bakeware,5AMJH-01,19.99,19.99,19.99,33,49,49,https://www.sierra.com/lodge-cast-iron-skillet-12~p~5amjh/?filterString=newproducts~14%2Factivities~d~14342%2F
3GFJH,"Frogg Toggs Chilly Pad Cooling Towel - UPF 50+, 33x13”",Frogg Toggs,Fitness Essentials,3GFJH-01,6.99,6.99,6.99,46,148,148,https://www.sierra.com/frogg-toggs-chilly-pad-cooling-towel-upf-50-plus--33x13~p~3gfjh/?filterString=newproducts~14%2Factivities~d~14342%2F
4FADN,"Under Armour Qualifier Run Shirt - Zip Neck, Long Sleeve",Under Armour,Women's Long Sleeve Workout Tops,4FADN-01-L,24.99,24.99,24.99,40,47,5,https://www.sierra.com/under-armour-qualifier-run-shirt-zip-neck-long-sleeve~p~4fadn/?filterString=newproducts~14%2Factivities~d~14342%2F
5ADNW,Peak Refuel Breakfast Skillet Meal - 2 Servings,Peak Refuel,Camp Food,5ADNW-01,11.99,11.99,11.99,20,100,100,https://www.sierra.com/peak-refuel-breakfast-skillet-meal-2-servings~p~5adnw/?filterString=newproducts~14%2Factivities~d~14342%2F
4WPHK,Allbirds Tree Dasher Running Shoes (For Men),Allbirds,Men's Running Shoes,4WPHK-01-13.5-M,49.99,49.99,49.99,62,23,7,https://www.sierra.com/allbirds-tree-dasher-running-shoes-for-men~p~4wphk/?filterString=newproducts~14%2Factivities~d~14342%2F
5AXYP,"Icebreaker Sphere II T-Shirt - Merino Wool, Short Sleeve",Icebreaker,Men's Short Sleeve/Men's Short Sleeve Workout Shirts,5AXYP-01-2XL,24.99,24.99,24.99,64,42,3,https://www.sierra.com/icebreaker-sphere-ii-t-shirt-merino-wool-short-sleeve~p~5axyp/?filterString=newproducts~14%2Factivities~d~14342%2F
4NDXK,VivoBarefoot Primus Lite III All-Weather Running Shoes (For Women),VivoBarefoot,Women's Running Shoes,4NDXK-01-35-M,79.99,79.99,79.99,52,12,2,https://www.sierra.com/vivobarefoot-primus-lite-iii-all-weather-running-shoes-for-women~p~4ndxk/?filterString=newproducts~14%2Factivities~d~14342%2F
5CJWW,"Dolomite 54 Gore-Tex® Hiking Boots - Waterproof, Leather (For Men)",Dolomite,Men's & Women's Hiking Boots/Men's Hiking Boots,5CJWW-01-9-M,79.99,79.99,79.99,46,14,9,https://www.sierra.com/dolomite-54-gore-tex-hiking-boots-waterproof-leather-for-men~p~5cjww/?filterString=newproducts~14%2Factivities~d~14342%2F
4YKMR,Oakley Drops Road Half-Finger Bike Gloves,Oakley,Bike Accessories,4YKMR-01-S/M,12.99,12.99,12.99,35,86,39,https://www.sierra.com/oakley-drops-road-half-finger-bike-gloves~p~4ykmr/?filterString=newproducts~14%2Factivities~d~14342%2F
5ADMR,Peak Refuel Breakfast Skillet Meal - 2 Servings,Peak Refuel,Camp Food,5ADMR-01,11.99,11.99,11.99,20,100,100,https://www.sierra.com/peak-refuel-breakfast-skillet-meal-2-servings~p~5admr/?filterString=newproducts~14%2Factivities~d~14342%2F
5ADJJ,Ready Wise Crest Peak Creamy Pasta and Chicken with Vegetables Meal - 2.5 Servings,Ready Wise,Camp Food,5ADJJ-01,7.29,7.29,7.29,20,83,83,https://www.sierra.com/ready-wise-crest-peak-creamy-pasta-and-chicken-with-vegetables-meal-25-servings~p~5adjj/?filterString=newproducts~14%2Factivities~d~14342%2F
5CDJH,"Vasque Coldspark Hiking Boots - Waterproof, Insulated (For Women)",Vasque,Men's & Women's Hiking Boots/Women's Hiking Boots,5CDJH-01-7-M,59.99,59.99,59.99,50,19,19,https://www.sierra.com/vasque-coldspark-hiking-boots-waterproof-insulated-for-women~p~5cdjh/?filterString=newproducts~14%2Factivities~d~14342%2F
4VKPF,"UMPQUA River Grip Scissor Clamp - 6”, Straight",UMPQUA,Fishing Tools & Bags,4VKPF-01,8.99,8.99,8.99,40,66,66,https://www.sierra.com/umpqua-river-grip-scissor-clamp-6-straight~p~4vkpf/?filterString=newproducts~14%2Factivities~d~14342%2F
4RPAX,adidas Powerimpact Luxe Sports Bra - Medium Impact,adidas,Women's Sports Bras,4RPAX-01-2XSC,12.99,12.99,12.99,67,108,24,https://www.sierra.com/adidas-powerimpact-luxe-sports-bra-medium-impact~p~4rpax/?filterString=newproducts~14%2Factivities~d~14342%2F
4UVYJ,Quiksilver Active Cloud T-Shirt - Short Sleeve,Quiksilver,Men's Short Sleeve/Men's Short Sleeve Workout Shirts,4UVYJ-01-S,9.99,9.99,9.99,50,66,12,https://www.sierra.com/quiksilver-active-cloud-t-shirt-short-sleeve~p~4uvyj/?filterString=newproducts~14%2Factivities~d~14342%2F
4VKND,"UMPQUA River Grip Scissor Clamp - 6”, Straight",UMPQUA,Fishing Tools & Bags,4VKND-01,8.99,8.99,8.99,40,76,76,https://www.sierra.com/umpqua-river-grip-scissor-clamp-6-straight~p~4vknd/?filterString=newproducts~14%2Factivities~d~14342%2F
4NCVX,VivoBarefoot Magna FG Hiking Boots - Leather (For Men),VivoBarefoot,Men's & Women's Hiking Boots/Men's Hiking Boots,4NCVX-01-43-M,119.99,119.99,119.99,25,3,1,https://www.sierra.com/vivobarefoot-magna-fg-hiking-boots-leather-for-men~p~4ncvx/?filterString=newproducts~14%2Factivities~d~14342%2F
4UVXW,Quiksilver Everyday Crew T-Shirt - Short Sleeve,Quiksilver,Men's Short Sleeve Workout Shirts,4UVXW-01-M,9.99,9.99,9.99,50,64,22,https://www.sierra.com/quiksilver-everyday-crew-t-shirt-short-sleeve~p~4uvxw/?filterString=newproducts~14%2Factivities~d~14342%2F
4RXHY,Peak Refuel Mountain Berry Granola Meal - 2 Servings,Peak Refuel,Camp Food,4RXHY-01,6.99,6.99,6.99,22,94,94,https://www.sierra.com/peak-refuel-mountain-berry-granola-meal-2-servings~p~4rxhy/?filterString=newproducts~14%2Factivities~d~14342%2F
4NDWP,VivoBarefoot Tracker Decon Low FG2 Hiking Shoes - Leather (For Women),VivoBarefoot,Men's & Women's Hiking Shoes/Women's Hiking Shoes,4NDWP-01-42-M,99.99,99.99,99.99,23,13,2,https://www.sierra.com/vivobarefoot-tracker-decon-low-fg2-hiking-shoes-leather-for-women~p~4ndwp/?filterString=newproducts~14%2Factivities~d~14342%2F
4VKNT,"UMPQUA River Grip Scissor Clamp - 6”, Straight",UMPQUA,Fishing Tools & Bags,4VKNT-01,8.99,8.99,8.99,40,78,78,https://www.sierra.com/umpqua-river-grip-scissor-clamp-6-straight~p~4vknt/?filterString=newproducts~14%2Factivities~d~14342%2F
id,name,brand,category,variant,price,rrPrice,discountPrice,discount,productParentStock,productChildStock,product_url,Material
4CJJW,DaKine Pickup Pad - Black,DaKine,Bike Accessories,4CJJW-01-S,79.99,79.99,79.99,46,71,71,https://www.sierra.com/dakine-pickup-pad-black~p~4cjjw/?filterString=newproducts~14%2Factivities~d~14342%2F," Recycled polyester, polyethylene foam"
id,name,brand,category,variant,price,rrPrice,discountPrice,discount,productParentStock,productChildStock,product_url,Material
4CJJW,DaKine Pickup Pad - Black,DaKine,Bike Accessories,4CJJW-01-S,79.99,79.99,79.99,46,71,71,https://www.sierra.com/dakine-pickup-pad-black~p~4cjjw/?filterString=newproducts~14%2Factivities~d~14342%2F," Recycled polyester, polyethylene foam"
